Testnum,Operation,Test,Date,Yieldnum
1,Trinity,Trinity,7/16/1945,21000
2,Crossroads,Able,7/1/1946,21000
3,Crossroads,Baker,7/25/1946,21000
4,Sandstone,X-Ray,4/15/1948,37000
5,Sandstone,Yoke,5/1/1948,49000
6,Sandstone,Zebra,5/15/1948,18000
7,Ranger,Able,1/27/1951,1000
8,Ranger,Baker,1/28/1951,8000
9,Ranger,Easy,2/1/1951,1000
10,Ranger,Baker-2,2/2/1951,8000
11,Ranger,Fox,2/6/1951,22000
12,Greenhouse,Dog,4/8/1951,81000
13,Greenhouse,Easy,4/21/1951,47000
14,Greenhouse,George,5/9/1951,225000
15,Greenhouse,Item,5/25/1951,45500
16,Buster Jangle,Able,10/22/1951,100
17,Buster Jangle,Baker,10/28/1951,3500
18,Buster Jangle,Charlie,10/30/1951,14000
19,Buster Jangle,Dog,11/1/1951,21000
20,Buster Jangle,Easy,11/5/1951,31000
21,Buster Jangle,Sugar,11/19/1951,1200
23,Tumbler,Able,4/1/1952,1000
24,Tumbler,Baker                                ,4/15/1952,1000
25,Tumbler,Charlie                                ,4/22/1952,31000
26,Tumbler,Dog                                    ,5/1/1952,19000
27,Tumbler,Easy                                   ,5/7/1952,12000
28,Tumbler,Fox                                    ,5/25/1952,11000
29,Tumbler,George                                 ,6/1/1952,15000
30,Tumbler,How                                    ,6/5/1952,14000
31,Ivy,Mike,11/1/1952,10400000
32,Ivy,King,11/16/1952,500000
33,Upshot-Knothole,Annie                                  ,3/17/1953,16000
34,Upshot-Knothole,Nancy                                  ,3/24/1953,24000
35,Upshot-Knothole,Ruth                                   ,3/31/1953,200
36,Upshot-Knothole,Dixie                                  ,4/6/1953,11000
37,Upshot-Knothole,Ray                                    ,4/11/1953,200
38,Upshot-Knothole,Badger                                 ,4/18/1953,23000
39,Upshot-Knothole,Simon                                  ,4/25/1953,43000
40,Upshot-Knothole,Encore                                 ,5/8/1953,27000
41,Upshot-Knothole,Harry                                  ,5/19/1953,32000
42,Upshot-Knothole,Grable,5/25/1953,15000
43,Upshot-Knothole,Climax                                 ,6/4/1953,61000
44,Castle,Bravo,3/1/1954,15000000
45,Castle,Romeo                                  ,3/27/1954,11000000
46,Castle,Koon                                   ,4/7/1954,110000
47,Castle,Union                                  ,4/26/1954,6900000
48,Castle,Yankee                                 ,5/5/1954,13500000
49,Castle,Nectar                                 ,5/14/1954,1690000
50,Teapot,Wasp                                   ,2/18/1955,1000
51,Teapot,Moth                                   ,2/22/1955,2000
52,Teapot,Tesla                                  ,3/1/1955,7000
53,Teapot,Turk                                   ,3/7/1955,43000
54,Teapot,Hornet,3/12/1955,4000
55,Teapot,Bee,3/22/1955,8000
57,Teapot,Apple-1,3/29/1955,14000
58,Teapot,Wasp Prime,3/29/1955,3000
59,Teapot,HA,4/6/1955,3000
60,Teapot,Post,4/9/1955,2000
61,Teapot,MET,4/15/1955,22000
62,Teapot,Apple-2,5/5/1955,29000
63,Teapot,Zucchini,5/15/1955,28000
64,Wigwam,Wigwam,5/14/1955,30000
69,Redwing,Lacrosse,5/5/1956,40000
70,Redwing,Cherokee,5/21/1956,3800000
71,Redwing,Zuni,5/28/1956,3500000
72,Redwing,Yuma,5/28/1956,190
73,Redwing,Erie,5/31/1956,14900
74,Redwing,Seminole,6/6/1956,13700
