id,regulated_entity_name,regulated_entity_rn_number,tracking_number,type_of_air_emissions_event,began_date,ended_date,duration
39415,KEYSTONE GAS PLANT,RN100238633,118977,EMISSIONS EVENT,2009-01-15 16:15:00+00:00,2009-01-15 17:00:00+00:00,0.75
39412,KEYSTONE GAS PLANT,RN100238633,118975,EMISSIONS EVENT,2009-01-15 16:43:00+00:00,2009-01-15 20:15:00+00:00,3.53333333333333
39409,KEYSTONE GAS PLANT,RN100238633,118973,EMISSIONS EVENT,2009-01-15 17:20:00+00:00,2009-01-15 20:57:00+00:00,3.61666666666667
39915,KEYSTONE GAS PLANT,RN100238633,119457,EMISSIONS EVENT,2009-01-28 16:43:00+00:00,2009-01-29 04:40:00+00:00,11.95
40028,KEYSTONE GAS PLANT,RN100238633,119559,EMISSIONS EVENT,2009-01-30 08:50:00+00:00,2009-01-30 13:00:00+00:00,4.16666666666667
43830,KEYSTONE GAS PLANT,RN100238633,123630,MAINTENANCE,2009-05-11 12:00:00+00:00,2009-05-13 20:00:00+00:00,56.0
45107,KEYSTONE GAS PLANT,RN100238633,124913,EMISSIONS EVENT,2009-06-01 06:40:00+00:00,2009-06-01 14:48:00+00:00,8.13333333333333
45646,KEYSTONE GAS PLANT,RN100238633,125533,EMISSIONS EVENT,2009-06-15 04:00:00+00:00,2009-06-15 04:25:00+00:00,0.416666666666667
45670,KEYSTONE GAS PLANT,RN100238633,125555,EMISSIONS EVENT,2009-06-15 17:44:00+00:00,2009-06-15 18:54:00+00:00,1.16666666666667
39634,KEYSTONE GAS PLANT,RN100238633,126946,EMISSIONS EVENT,2009-07-17 22:00:00+00:00,2009-07-20 06:00:00+00:00,56.0
39659,KEYSTONE GAS PLANT,RN100238633,126963,EMISSIONS EVENT,2009-07-18 02:00:00+00:00,2009-07-18 11:00:00+00:00,9.0
40159,KEYSTONE GAS PLANT,RN100238633,127480,MAINTENANCE,2009-07-31 20:00:00+00:00,2009-08-03 20:00:00+00:00,72.0
40481,KEYSTONE GAS PLANT,RN100238633,127706,EMISSIONS EVENT,2009-08-02 05:00:00+00:00,2009-08-05 04:00:00+00:00,71.0
40406,KEYSTONE GAS PLANT,RN100238633,127643,EMISSIONS EVENT,2009-08-03 20:00:00+00:00,2009-08-04 20:00:00+00:00,24.0
40732,KEYSTONE GAS PLANT,RN100238633,127925,EMISSIONS EVENT,2009-08-09 00:30:00+00:00,2009-08-09 05:10:00+00:00,4.66666666666667
40729,KEYSTONE GAS PLANT,RN100238633,127924,EMISSIONS EVENT,2009-08-09 21:30:00+00:00,2009-08-10 07:00:00+00:00,9.5
40814,KEYSTONE GAS PLANT,RN100238633,128020,EMISSIONS EVENT,2009-08-11 18:00:00+00:00,2009-08-11 23:40:00+00:00,5.66666666666667
40886,KEYSTONE GAS PLANT,RN100238633,128106,MAINTENANCE,2009-08-14 17:00:00+00:00,2009-08-14 17:20:00+00:00,0.333333333333333
41006,KEYSTONE GAS PLANT,RN100238633,128181,EMISSIONS EVENT,2009-08-15 20:50:00+00:00,2009-08-16 00:15:00+00:00,3.41666666666667
