id,regulated_entity_name,regulated_entity_rn_number,tracking_number,type_of_air_emissions_event,began_date,ended_date,duration
39748,WAHA GAS PLANT,RN100211408,119276,EMISSIONS EVENT,2008-01-24 12:28:00+00:00,2008-01-24 15:45:00+00:00,3.28333333333333
39257,WAHA GAS PLANT,RN100211408,118852,EMISSIONS EVENT,2009-01-13 12:27:00+00:00,2009-01-13 20:10:00+00:00,7.71666666666667
39366,WAHA GAS PLANT,RN100211408,118949,EMISSIONS EVENT,2009-01-15 11:50:00+00:00,2009-01-15 16:15:00+00:00,4.41666666666667
39501,WAHA GAS PLANT,RN100211408,119043,EMISSIONS EVENT,2009-01-18 11:55:00+00:00,2009-01-18 17:10:00+00:00,5.25
39556,WAHA GAS PLANT,RN100211408,119083,EMISSIONS EVENT,2009-01-19 01:15:00+00:00,2009-01-19 08:30:00+00:00,7.25
39925,WAHA GAS PLANT,RN100211408,119464,EMISSIONS EVENT,2009-01-28 09:35:00+00:00,2009-01-28 17:45:00+00:00,8.16666666666667
40285,WAHA GAS PLANT,RN100211408,119820,EMISSIONS EVENT,2009-02-06 06:45:00+00:00,2009-02-06 10:50:00+00:00,4.08333333333333
40379,WAHA GAS PLANT,RN100211408,119909,EMISSIONS EVENT,2009-02-09 01:15:00+00:00,2009-02-09 03:35:00+00:00,2.33333333333333
40501,WAHA GAS PLANT,RN100211408,120026,EMISSIONS EVENT,2009-02-10 22:38:00+00:00,2009-02-11 03:05:00+00:00,4.45
40540,WAHA GAS PLANT,RN100211408,120064,EMISSIONS EVENT,2009-02-11 19:15:00+00:00,2009-02-12 04:30:00+00:00,9.25
42044,WAHA GAS PLANT,RN100211408,121380,EMISSIONS EVENT,2009-03-15 15:20:00+00:00,2009-03-16 11:14:00+00:00,19.9
42045,WAHA GAS PLANT,RN100211408,121382,EMISSIONS EVENT,2009-03-16 15:00:00+00:00,2009-03-16 16:30:00+00:00,1.5
42097,WAHA GAS PLANT,RN100211408,121447,EMISSIONS EVENT,2009-03-17 11:30:00+00:00,2009-03-18 02:30:00+00:00,15.0
42286,WAHA GAS PLANT,RN100211408,121643,EMISSIONS EVENT,2009-03-20 22:00:00+00:00,2009-03-21 03:10:00+00:00,5.16666666666667
42386,WAHA GAS PLANT,RN100211408,121826,EMISSIONS EVENT,2009-03-25 13:03:00+00:00,2009-03-25 18:00:00+00:00,4.95
42561,WAHA GAS PLANT,RN100211408,122215,EMISSIONS EVENT,2009-04-02 16:20:00+00:00,2009-04-02 20:30:00+00:00,4.16666666666667
42850,WAHA GAS PLANT,RN100211408,122614,EMISSIONS EVENT,2009-04-12 00:50:00+00:00,2009-04-12 22:20:00+00:00,21.5
43188,WAHA GAS PLANT,RN100211408,122938,EMISSIONS EVENT,2009-04-17 11:20:00+00:00,2009-04-17 15:50:00+00:00,4.5
43314,WAHA GAS PLANT,RN100211408,123058,EMISSIONS EVENT,2009-04-20 11:10:00+00:00,2009-04-20 13:40:00+00:00,2.5
44210,WAHA GAS PLANT,RN100211408,123992,EMISSIONS EVENT,2009-05-08 12:40:00+00:00,2009-05-08 18:45:00+00:00,6.08333333333333
44482,WAHA GAS PLANT,RN100211408,124298,EMISSIONS EVENT,2009-05-15 17:05:00+00:00,2009-05-16 03:55:00+00:00,10.8333333333333
44985,WAHA GAS PLANT,RN100211408,124797,EMISSIONS EVENT,2009-05-27 21:40:00+00:00,2009-05-27 23:30:00+00:00,1.83333333333333
45336,WAHA GAS PLANT,RN100211408,125186,EMISSIONS EVENT,2009-06-04 20:10:00+00:00,2009-06-05 00:15:00+00:00,4.08333333333333
45355,WAHA GAS PLANT,RN100211408,125202,EMISSIONS EVENT,2009-06-05 20:45:00+00:00,2009-06-06 04:45:00+00:00,8.0
45618,WAHA GAS PLANT,RN100211408,125491,EMISSIONS EVENT,2009-06-14 22:25:00+00:00,2009-06-15 00:15:00+00:00,1.83333333333333
45663,WAHA GAS PLANT,RN100211408,125550,EMISSIONS EVENT,2009-06-15 14:50:00+00:00,2009-06-16 01:35:00+00:00,10.75
45880,WAHA GAS PLANT,RN100211408,125789,EMISSIONS EVENT,2009-06-19 04:50:00+00:00,2009-06-19 10:10:00+00:00,5.33333333333333
45916,WAHA GAS PLANT,RN100211408,125816,EMISSIONS EVENT,2009-06-20 01:55:00+00:00,2009-06-20 02:55:00+00:00,1.0
46019,WAHA GAS PLANT,RN100211408,125924,EMISSIONS EVENT,2009-06-23 01:46:00+00:00,2009-06-23 05:20:00+00:00,3.56666666666667
46086,WAHA GAS PLANT,RN100211408,125994,EMISSIONS EVENT,2009-06-24 12:25:00+00:00,2009-06-24 14:28:00+00:00,2.05
38781,WAHA GAS PLANT,RN100211408,126107,EMISSIONS EVENT,2009-06-28 00:15:00+00:00,2009-06-28 07:50:00+00:00,7.58333333333333
39002,WAHA GAS PLANT,RN100211408,126364,EMISSIONS EVENT,2009-07-02 11:05:00+00:00,2009-07-02 12:00:00+00:00,0.916666666666667
39072,WAHA GAS PLANT,RN100211408,126418,EMISSIONS EVENT,2009-07-04 04:25:00+00:00,2009-07-04 17:30:00+00:00,13.0833333333333
39086,WAHA GAS PLANT,RN100211408,126423,EMISSIONS EVENT,2009-07-04 19:45:00+00:00,2009-07-05 06:55:00+00:00,11.1666666666667
39116,WAHA GAS PLANT,RN100211408,126443,EMISSIONS EVENT,2009-07-05 19:40:00+00:00,2009-07-06 15:30:00+00:00,19.8333333333333
39226,WAHA GAS PLANT,RN100211408,126544,EMISSIONS EVENT,2009-07-07 06:20:00+00:00,2009-07-07 07:45:00+00:00,1.41666666666667
39264,WAHA GAS PLANT,RN100211408,126588,EMISSIONS EVENT,2009-07-08 10:50:00+00:00,2009-07-08 12:30:00+00:00,1.66666666666667
39485,WAHA GAS PLANT,RN100211408,126779,EMISSIONS EVENT,2009-07-13 18:45:00+00:00,2009-07-14 08:50:00+00:00,14.0833333333333
39496,WAHA GAS PLANT,RN100211408,126795,EMISSIONS EVENT,2009-07-14 15:00:00+00:00,2009-07-14 18:45:00+00:00,3.75
39560,WAHA GAS PLANT,RN100211408,126852,EMISSIONS EVENT,2009-07-14 23:00:00+00:00,2009-07-15 12:00:00+00:00,13.0
39580,WAHA GAS PLANT,RN100211408,126870,EMISSIONS EVENT,2009-07-15 14:20:00+00:00,2009-07-15 22:00:00+00:00,7.66666666666667
39350,WAHA GAS PLANT,RN100211408,126662,AIR SHUTDOWN,2009-07-20 15:58:00+00:00,2009-07-21 14:01:00+00:00,22.05
39352,WAHA GAS PLANT,RN100211408,126663,AIR STARTUP,2009-08-14 11:00:00+00:00,2009-09-08 12:02:00+00:00,601.033333333333
41305,WAHA GAS PLANT,RN100211408,128498,EMISSIONS EVENT,2009-08-21 20:30:00+00:00,2009-08-22 04:15:00+00:00,7.75
41336,WAHA GAS PLANT,RN100211408,128515,EMISSIONS EVENT,2009-08-22 21:30:00+00:00,2009-08-23 16:40:00+00:00,19.1666666666667
41397,WAHA GAS PLANT,RN100211408,128561,EMISSIONS EVENT,2009-08-24 10:55:00+00:00,2009-08-24 13:45:00+00:00,2.83333333333333
41462,WAHA GAS PLANT,RN100211408,128626,EMISSIONS EVENT,2009-08-25 05:45:00+00:00,2009-08-25 15:15:00+00:00,9.5
41518,WAHA GAS PLANT,RN100211408,128681,EMISSIONS EVENT,2009-08-26 01:00:00+00:00,2009-08-26 07:10:00+00:00,6.16666666666667
41575,WAHA GAS PLANT,RN100211408,128716,EMISSIONS EVENT,2009-08-26 21:00:00+00:00,2009-08-27 00:40:00+00:00,3.66666666666667
41673,WAHA GAS PLANT,RN100211408,128826,EMISSIONS EVENT,2009-08-31 13:12:00+00:00,2009-08-31 15:43:00+00:00,2.51666666666667
41878,WAHA GAS PLANT,RN100211408,129030,EMISSIONS EVENT,2009-09-04 07:30:00+00:00,2009-09-04 10:00:00+00:00,2.5
41974,WAHA GAS PLANT,RN100211408,129081,EMISSIONS EVENT,2009-09-07 03:36:00+00:00,2009-09-07 06:00:00+00:00,2.4
42115,WAHA GAS PLANT,RN100211408,129225,EMISSIONS EVENT,2009-09-09 17:20:00+00:00,2009-09-09 17:55:00+00:00,0.583333333333333
42136,WAHA GAS PLANT,RN100211408,129246,EMISSIONS EVENT,2009-09-09 22:40:00+00:00,2009-09-10 22:20:00+00:00,23.6666666666667
42193,WAHA GAS PLANT,RN100211408,129300,EMISSIONS EVENT,2009-09-11 00:00:00+00:00,2009-09-11 12:30:00+00:00,12.5
42237,WAHA GAS PLANT,RN100211408,129332,EMISSIONS EVENT,2009-09-12 11:55:00+00:00,2009-09-14 04:30:00+00:00,40.5833333333333
43105,WAHA GAS PLANT,RN100211408,129727,EMISSIONS EVENT,2009-09-22 05:25:00+00:00,2009-09-22 11:00:00+00:00,5.58333333333333
43194,WAHA GAS PLANT,RN100211408,129819,EMISSIONS EVENT,2009-09-23 06:15:00+00:00,2009-09-23 10:20:00+00:00,4.08333333333333
43322,WAHA GAS PLANT,RN100211408,129935,EMISSIONS EVENT,2009-09-26 09:40:00+00:00,2009-09-26 13:10:00+00:00,3.5
43947,WAHA GAS PLANT,RN100211408,130568,EMISSIONS EVENT,2009-10-10 17:15:00+00:00,2009-10-10 23:08:00+00:00,5.88333333333333
44420,WAHA GAS PLANT,RN100211408,131032,EMISSIONS EVENT,2009-10-22 06:05:00+00:00,2009-10-22 11:10:00+00:00,5.08333333333333
44470,WAHA GAS PLANT,RN100211408,131088,EMISSIONS EVENT,2009-10-22 20:20:00+00:00,2009-10-22 21:51:00+00:00,1.51666666666667
44724,WAHA GAS PLANT,RN100211408,131301,EMISSIONS EVENT,2009-10-28 20:14:00+00:00,2009-10-28 22:10:00+00:00,1.93333333333333
44817,WAHA GAS PLANT,RN100211408,131384,EMISSIONS EVENT,2009-10-31 15:40:00+00:00,2009-11-01 00:00:00+00:00,8.33333333333333
45079,WAHA GAS PLANT,RN100211408,131692,EMISSIONS EVENT,2009-11-04 19:00:00+00:00,2009-11-04 20:00:00+00:00,1.0
45085,WAHA GAS PLANT,RN100211408,131694,EMISSIONS EVENT,2009-11-05 10:05:00+00:00,2009-11-05 10:55:00+00:00,0.833333333333333
45088,WAHA GAS PLANT,RN100211408,131698,EMISSIONS EVENT,2009-11-05 20:12:00+00:00,2009-11-05 23:45:00+00:00,3.55
45131,WAHA GAS PLANT,RN100211408,131747,EMISSIONS EVENT,2009-11-07 21:13:00+00:00,2009-11-08 00:05:00+00:00,2.86666666666667
45312,WAHA GAS PLANT,RN100211408,131973,EMISSIONS EVENT,2009-11-13 16:27:00+00:00,2009-11-13 18:05:00+00:00,1.63333333333333
45634,WAHA GAS PLANT,RN100211408,132253,EMISSIONS EVENT,2009-11-19 20:10:00+00:00,2009-11-19 23:20:00+00:00,3.16666666666667
45695,WAHA GAS PLANT,RN100211408,132324,EMISSIONS EVENT,2009-11-21 01:20:00+00:00,2009-11-21 03:20:00+00:00,2.0
45862,WAHA GAS PLANT,RN100211408,132517,EMISSIONS EVENT,2009-11-25 14:40:00+00:00,2009-11-25 15:08:00+00:00,0.466666666666667
46094,WAHA GAS PLANT,RN100211408,132738,EMISSIONS EVENT,2009-12-01 07:40:00+00:00,2009-12-01 11:25:00+00:00,3.75
46198,WAHA GAS PLANT,RN100211408,132865,EMISSIONS EVENT,2009-12-05 05:45:00+00:00,2009-12-05 23:19:00+00:00,17.5666666666667
46214,WAHA GAS PLANT,RN100211408,132884,EMISSIONS EVENT,2009-12-06 14:35:00+00:00,2009-12-06 16:10:00+00:00,1.58333333333333
46682,WAHA GAS PLANT,RN100211408,133683,EMISSIONS EVENT,2009-12-27 01:45:00+00:00,2009-12-28 06:00:00+00:00,28.25
31096,WAHA GAS PLANT,RN100211408,133971,EMISSIONS EVENT,2010-01-04 20:28:00+00:00,2010-01-04 21:50:00+00:00,1.36666666666667
31283,WAHA GAS PLANT,RN100211408,134152,EMISSIONS EVENT,2010-01-07 18:15:00+00:00,2010-01-07 19:40:00+00:00,1.41666666666667
31421,WAHA GAS PLANT,RN100211408,134230,EMISSIONS EVENT,2010-01-09 06:55:00+00:00,2010-01-10 23:15:00+00:00,40.3333333333333
31956,WAHA GAS PLANT,RN100211408,134714,EMISSIONS EVENT,2010-01-20 18:00:00+00:00,2010-01-21 04:10:00+00:00,10.1666666666667
32109,WAHA GAS PLANT,RN100211408,134890,EMISSIONS EVENT,2010-01-24 14:40:00+00:00,2010-01-24 16:05:00+00:00,1.41666666666667
